"","Znamka","Leto","St.prodanih","Delez.na.trgu(%)"
"524","Alfa Romeo",2009,110827,0.76
"525","Aston Martin",2009,2308,0.02
"526","Audi",2009,617606,4.23
"527","BMW",2009,571184,3.91
"528","Citroen",2009,870143,5.96
"529","Dacia",2009,242419,1.66
"530","Ferrari",2009,2868,0.02
"531","Fiat",2009,1010342,6.92
"532","Ford",2009,1285871,8.8
"533","Honda",2009,261441,1.79
"534","Hyundai",2009,332709,2.5
"535","Jaguar",2009,29427,0.2
"536","Jeep",2009,18778,0.13
"537","Kia",2009,262625,1.8
"538","Lancia",2009,121846,0.83
"539","Lexus",2009,20629,0.14
"540","Mazda",2009,213585,1.46
"541","Mercedes Benz",2009,589329,4.03
"542","Mini",2009,136656,0.94
"543","Nissan",2009,372096,2.54
"544","Opel",2009,1053306,7.21
"545","Peugeot",2009,1006620,6.89
"546","Porsche",2009,33407,0.23
"547","Renault",2009,1124622,7.7
"548","Land Rover",2009,58474,0.4
"549","Seat",2009,319663,2.19
"550","Skoda",2009,486510,3.33
"551","Subaru",2009,45969,0.31
"552","Suzuki",2009,251077,1.72
"553","Toyota",2009,770944,4.88
"554","Volkswagen",2009,1664443,11.39
"555","Volvo",2009,207516,1.42
"556","Alfa Romeo",2010,110654,0.79
"557","Aston Martin",2010,2315,0.02
"558","Audi",2010,630561,4.53
"559","BMW",2010,609939,4.38
"560","Citroen",2010,839207,6.03
"561","Dacia",2010,268415,1.93
"562","Ferrari",2010,2987,0.02
"563","Fiat",2010,837251,6.01
"564","Ford",2010,1128782,8.11
"565","Honda",2010,201829,1.45
"566","Hyundai",2010,366931,2.64
"567","Jaguar",2010,27344,0.2
"568","Jeep",2010,14651,0.11
"569","Kia",2010,260778,1.87
"570","Lancia",2010,99671,0.72
"571","Lexus",2010,19185,0.14
"572","Mazda",2010,183887,1.32
"573","Mercedes Benz",2010,592562,4.26
"574","Mini",2010,142381,1.02
"575","Nissan",2010,411084,2.94
"576","Opel",2010,1006683,7.23
"577","Peugeot",2010,1015057,7.29
"578","Porsche",2010,37504,0.27
"579","Renault",2010,1164277,8.36
"580","Land Rover",2010,70714,0.51
"581","Seat",2010,305766,2.2
"582","Skoda",2010,456292,3.28
"583","Subaru",2010,46882,0.34
"584","Suzuki",2010,195141,1.4
"585","Toyota",2010,636365,4.29
"586","Volkswagen",2010,1558848,11.2
"587","Volvo",2010,232377,1.67
"588","Alfa Romeo",2011,131385,0.95
"589","Aston Martin",2011,2363,0.02
"590","Audi",2011,693233,5.01
"591","BMW",2011,649893,4.69
"592","Citroen",2011,780295,5.63
"593","Dacia",2011,254617,1.84
"594","Ferrari",2011,2899,0.02
"595","Fiat",2011,704157,5.08
"596","Ford",2011,1106875,7.99
"597","Honda",2011,163948,1.18
"598","Hyundai",2011,421393,3.04
"599","Jaguar",2011,22935,0.17
"600","Jeep",2011,23996,0.17
"601","Kia",2011,292569,2.11
"602","Lancia",2011,98679,0.71
"603","Lexus",2011,27442,0.2
"604","Mazda",2011,138857,1
"605","Mercedes Benz",2011,598569,4.32
"606","Mini",2011,170432,1.23
"607","Nissan",2011,470004,3.37
"608","Opel",2011,996566,7.2
"609","Peugeot",2011,923371,6.67
"610","Porsche",2011,42228,0.3
"611","Renault",2011,1068600,7.72
"612","Land Rover",2011,73818,0.53
"613","Seat",2011,311077,2.25
"614","Skoda",2011,495470,3.58
"615","Subaru",2011,38411,0.28
"616","Suzuki",2011,179341,1.3
"617","Toyota",2011,587715,3.96
"618","Volkswagen",2011,1703915,12.3
"619","Volvo",2011,250626,1.81
"620","Alfa Romeo",2012,90145,0.72
"621","Aston Martin",2012,1829,0.01
"622","Audi",2012,705023,5.62
"623","BMW",2012,640729,5.11
"624","Citroen",2012,674431,5.37
"625","Dacia",2012,237956,1.9
"626","Ferrari",2012,2768,0.02
"627","Fiat",2012,581613,4.64
"628","Ford",2012,950344,7.57
"629","Honda",2012,140579,1.12
"630","Hyundai",2012,428958,3.42
"631","Jaguar",2012,23410,0.19
"632","Jeep",2012,28201,0.22
"633","Kia",2012,340370,2.71
"634","Lancia",2012,89995,0.72
"635","Lexus",2012,26820,0.21
"636","Mazda",2012,123859,0.99
"637","Mercedes Benz",2012,598300,4.77
"638","Mini",2012,158604,1.26
"639","Nissan",2012,436169,3.48
"640","Opel",2012,835855,6.66
"641","Peugeot",2012,795792,6.34
"642","Porsche",2012,45549,0.36
"643","Renault",2012,818598,6.52
"644","Land Rover",2012,104885,0.84
"645","Seat",2012,261018,2.08
"646","Skoda",2012,489497,3.9
"647","Subaru",2012,42165,0.34
"648","Suzuki",2012,153987,1.23
"649","Toyota",2012,518720,4.13
"650","Volkswagen",2012,1608647,12.82
"651","Volvo",2012,231865,1.85
"652","Alfa Romeo",2013,64285,0.52
"653","Aston Martin",2013,1853,0.02
"654","Audi",2013,695456,5.67
"655","BMW",2013,639656,5.22
"656","Citroen",2013,600538,4.9
"657","Dacia",2013,290078,2.37
"658","Ferrari",2013,2477,0.02
"659","Fiat",2013,568838,4.64
"660","Ford",2013,919799,7.5
"661","Honda",2013,139638,1.14
"662","Hyundai",2013,414308,3.38
"663","Jaguar",2013,26969,0.22
"664","Jeep",2013,23807,0.19
"665","Kia",2013,344498,2.81
"666","Lancia",2013,71872,0.59
"667","Lexus",2013,23708,0.19
"668","Mazda",2013,146355,1.19
"669","Mercedes Benz",2013,624888,5.1
"670","Mini",2013,153164,1.25
"671","Nissan",2013,421134,3.44
"672","Opel",2013,823902,6.72
"673","Peugeot",2013,736440,6.01
"674","Porsche",2013,44423,0.36
"675","Renault",2013,797577,6.51
"676","Land Rover",2013,111372,0.91
"677","Seat",2013,287097,2.34
"678","Skoda",2013,501442,4.09
"679","Subaru",2013,38935,0.32
"680","Suzuki",2013,151098,1.23
"681","Toyota",2013,509862,4.16
"682","Volkswagen",2013,1541890,12.58
"683","Volvo",2013,230474,1.88
"684","Alfa Romeo",2014,58976,0.46
"685","Aston Martin",2014,1559,0.01
"686","Audi",2014,722653,5.59
"687","BMW",2014,672376,5.2
"688","Citroen",2014,607356,4.69
"689","Dacia",2014,362520,2.8
"690","Ferrari",2014,2461,0.02
"691","Fiat",2014,583206,4.51
"692","Ford",2014,959191,7.41
"693","Honda",2014,132579,1.02
"694","Hyundai",2014,418824,3.24
"695","Jaguar",2014,28796,0.22
"696","Jeep",2014,40353,0.31
"697","Kia",2014,351798,2.72
"698","Lancia",2014,69835,0.54
"699","Lexus",2014,31479,0.24
"700","Mazda",2014,172926,1.34
"701","Mercedes Benz",2014,657320,5.08
"702","Mini",2014,156887,1.21
"703","Nissan",2014,477703,3.69
"704","Opel",2014,880974,6.81
