"","Drzava","Leto","Stevilo"
"808","Liechtenstein",2006,260
"809","Liechtenstein",2006,450
"810","Liechtenstein",2006,1110
"811","Norway",2006,142572
"812","Norway",2006,5764
"813","Norway",2006,30620
"814","Norway",2006,51706
"815","Norway",2006,54482
"816","Switzerland",2006,269700
"817","Switzerland",2006,10100
"818","Switzerland",2006,45600
"819","Switzerland",2006,72300
"820","Switzerland",2006,141800
"821","Turkey",2006,396542
"822","Belgium",2007,529606
"823","Bulgaria",2007,348887
"824","Czech Republic",2007,129443
"825","Denmark",2007,252183
"826","Germany (until 1990 former territory of the FRG)",2007,3148163
"827","Estonia",2007,30916
"828","Estonia",2007,562
"829","Estonia",2007,4901
"830","Estonia",2007,13846
"831","Estonia",2007,11607
"832","Ireland",2007,180754
"833","Spain",2007,1633806
"834","Spain",2007,69232
"835","Spain",2007,486215
"836","Spain",2007,710496
"837","Spain",2007,364100
"838","France",2007,2064543
"839","France",2007,227495
"840","France",2007,716030
"841","France",2007,699993
"842","France",2007,421025
"843","Croatia",2007,108015
"844","Croatia",2007,10746
"845","Croatia",2007,44166
"846","Croatia",2007,34268
"847","Croatia",2007,18835
"848","Italy",2007,2514905
"849","Cyprus",2007,50908
"850","Cyprus",2007,3868
"851","Cyprus",2007,15710
"852","Cyprus",2007,18602
"853","Cyprus",2007,12728
"854","Latvia",2007,107003
"855","Latvia",2007,1385
"856","Latvia",2007,21081
"857","Latvia",2007,39378
"858","Latvia",2007,45159
"859","Lithuania",2007,220236
"860","Lithuania",2007,10217
"861","Lithuania",2007,68268
"862","Lithuania",2007,84880
"863","Lithuania",2007,56871
"864","Luxembourg",2007,51332
"865","Luxembourg",2007,828
"866","Luxembourg",2007,9688
"867","Luxembourg",2007,16717
"868","Luxembourg",2007,24099
"869","Hungary",2007,136032
"870","Netherlands",2007,505643
"871","Austria",2007,298182
"872","Austria",2007,17921
"873","Austria",2007,89033
"874","Austria",2007,100483
"875","Austria",2007,90745
"876","Poland",2007,1128684
"877","Poland",2007,106186
"878","Poland",2007,322555
"879","Poland",2007,373026
"880","Poland",2007,326917
"881","Romania",2007,436349
"882","Slovenia",2007,67791
"883","Slovakia",2007,146292
"884","Finland",2007,126022
"885","Finland",2007,1984
"886","Finland",2007,19377
"887","Finland",2007,57559
"888","Finland",2007,46425
"889","Sweden",2007,321705
"890","Sweden",2007,8767
"891","Sweden",2007,35557
