"TIME","GEO","UNIT","ENGINE","Value","Flag and Footnotes"
"1995","Latvia","Number","Total","15,729",""
"1995","Latvia","Number","125 cm³ or less",":",""
"1995","Latvia","Number","Over 125 cm³",":",""
"1995","Lithuania","Number","Total","20,033","d"
"1995","Lithuania","Number","125 cm³ or less",":",""
"1995","Lithuania","Number","Over 125 cm³",":",""
"1995","Luxembourg","Number","Total",":",""
"1995","Luxembourg","Number","125 cm³ or less",":",""
"1995","Luxembourg","Number","Over 125 cm³",":",""
"1995","Hungary","Number","Total","159,152",""
"1995","Hungary","Number","125 cm³ or less","65,000",""
"1995","Hungary","Number","Over 125 cm³","94,000",""
"1995","Malta","Number","Total","17,411",""
"1995","Malta","Number","125 cm³ or less",":",""
"1995","Malta","Number","Over 125 cm³",":",""
"1995","Netherlands","Number","Total","315,000",""
"1995","Netherlands","Number","125 cm³ or less",":",""
"1995","Netherlands","Number","Over 125 cm³",":",""
"1995","Austria","Number","Total","175,000",""
"1995","Austria","Number","125 cm³ or less","16,000",""
"1995","Austria","Number","Over 125 cm³","159,000",""
"1995","Poland","Number","Total","929,269",""
"1995","Poland","Number","125 cm³ or less",":",""
"1995","Poland","Number","Over 125 cm³",":",""
"1995","Portugal","Number","Total","216,000","d"
"1995","Portugal","Number","125 cm³ or less",":",""
"1995","Portugal","Number","Over 125 cm³",":",""
"1995","Romania","Number","Total","122,692",""
"1995","Romania","Number","125 cm³ or less",":",""
"1995","Romania","Number","Over 125 cm³",":",""
"1995","Slovenia","Number","Total","8,430",""
"1995","Slovenia","Number","125 cm³ or less","3,645",""
"1995","Slovenia","Number","Over 125 cm³","4,785",""
"1995","Slovakia","Number","Total","81,847",""
"1995","Slovakia","Number","125 cm³ or less",":",""
"1995","Slovakia","Number","Over 125 cm³",":",""
"1995","Finland","Number","Total","65,000",""
"1995","Finland","Number","125 cm³ or less","26,000",""
"1995","Finland","Number","Over 125 cm³","39,000",""
"1995","Sweden","Number","Total","63,000",""
"1995","Sweden","Number","125 cm³ or less","7,000",""
"1995","Sweden","Number","Over 125 cm³","56,000",""
"1995","United Kingdom","Number","Total","627,000",""
"1995","United Kingdom","Number","125 cm³ or less","199,000",""
"1995","United Kingdom","Number","Over 125 cm³","428,000",""
"1995","Iceland","Number","Total","2,000",""
"1995","Iceland","Number","125 cm³ or less","1,000",""
"1995","Iceland","Number","Over 125 cm³","1,000",""
"1995","Liechtenstein","Number","Total","1,500","d"
"1995","Liechtenstein","Number","125 cm³ or less","700","d"
